symbol,take_profit,stop_loss,max_hold_bars,volume_ratio,rsi_max,total_trades,win_rate,total_return,mdd,pf,avg_hold_bars,asset,resample_min,saved_at
KRW-AAVE,0.01,0.01,30,2.0,65,715,44.2,-48.34,-47.7,0.87,17.9,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.01,50,2.0,65,701,46.2,-53.2,-50.38,0.87,22.0,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,30,2.0,65,675,27.9,-52.94,-54.42,0.869,31.9,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,50,2.0,65,649,27.3,-62.87,-59.81,0.866,41.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.01,30,2.0,65,696,32.5,-59.53,-56.94,0.855,25.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.01,50,2.0,65,674,33.1,-68.52,-63.13,0.854,31.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,20,2.0,65,695,28.1,-56.06,-54.45,0.853,25.5,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.01,50,2.0,70,1129,33.0,-124.68,-77.64,0.843,31.3,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,10,2.0,65,724,27.9,-54.85,-48.1,0.828,17.7,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.008,50,2.0,65,685,29.5,-81.14,-64.16,0.822,27.4,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.01,20,2.0,65,712,31.6,-68.12,-55.48,0.822,20.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.01,20,2.0,65,724,41.2,-63.27,-50.0,0.822,14.6,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.01,50,2.0,70,1166,37.8,-140.86,-79.57,0.82,26.5,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.008,50,2.0,65,662,23.9,-84.6,-68.41,0.816,35.7,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.01,50,2.0,70,1210,45.5,-136.96,-77.53,0.815,21.0,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.01,30,2.0,65,707,35.5,-74.08,-55.53,0.815,21.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.005,50,2.0,65,689,19.4,-74.37,-63.6,0.815,27.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,50,1.5,65,859,26.3,-118.9,-77.7,0.814,39.9,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.01,50,2.0,65,688,37.2,-84.33,-60.99,0.813,27.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.01,30,2.0,70,1185,31.9,-135.81,-78.96,0.813,25.0,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.008,50,2.0,65,709,41.9,-76.48,-58.08,0.81,18.6,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,30,1.5,65,901,27.6,-107.46,-72.8,0.809,31.0,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,50,2.0,70,1065,26.8,-149.43,-85.15,0.809,39.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.008,30,2.0,65,686,25.5,-80.16,-64.6,0.804,28.3,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.008,30,2.0,65,723,41.2,-74.72,-56.08,0.802,15.5,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.008,30,2.0,65,705,29.9,-81.47,-61.2,0.802,22.3,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.008,10,2.0,65,724,27.1,-63.43,-53.18,0.802,17.0,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.008,20,2.0,65,701,26.5,-76.47,-62.58,0.8,23.6,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,20,1.5,65,931,27.2,-105.47,-71.32,0.799,25.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.008,20,2.0,65,717,30.0,-78.29,-59.36,0.796,18.4,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.01,30,1.2,65,1150,42.6,-129.23,-75.74,0.795,18.0,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.01,30,2.0,70,1220,35.7,-148.45,-80.5,0.795,21.4,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.01,50,1.2,65,1124,44.6,-141.7,-79.13,0.794,22.0,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.01,30,2.0,70,1250,43.1,-143.51,-78.51,0.794,17.6,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.008,50,2.0,70,1164,29.0,-162.31,-84.79,0.794,26.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,50,1.5,70,1329,26.4,-205.71,-91.24,0.794,38.7,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.01,10,2.0,65,740,30.1,-67.19,-53.44,0.792,13.5,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.01,50,1.2,70,1799,45.2,-233.31,-92.09,0.792,21.0,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.01,20,2.0,70,1227,30.7,-143.39,-79.92,0.788,20.3,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.01,50,1.5,70,1424,31.9,-220.58,-91.71,0.786,31.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.01,10,2.0,65,750,37.6,-66.01,-52.05,0.786,9.9,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.01,50,1.2,70,1611,32.0,-252.7,-94.08,0.784,31.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.01,50,1.5,65,946,44.3,-125.49,-73.92,0.783,22.0,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.01,50,1.5,70,1561,45.0,-212.7,-89.84,0.782,21.0,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,50,1.2,70,1492,26.6,-246.25,-94.36,0.782,39.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,50,1.2,65,1001,25.7,-164.28,-86.34,0.781,40.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.008,20,2.0,65,729,39.2,-78.32,-57.25,0.781,13.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.005,50,2.0,65,732,34.8,-78.74,-57.29,0.781,12.9,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,30,2.0,70,1132,26.9,-157.21,-85.43,0.78,31.3,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.01,30,1.5,65,971,42.3,-117.49,-71.86,0.78,18.0,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.01,20,2.0,65,719,34.6,-83.39,-59.14,0.778,17.4,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.01,20,2.0,70,1257,34.1,-149.72,-80.21,0.778,17.3,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.01,50,1.5,70,1492,37.0,-230.23,-92.09,0.777,26.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.01,30,1.2,70,1869,42.4,-237.73,-92.05,0.776,17.6,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.008,50,2.0,65,699,33.5,-99.01,-67.1,0.776,23.6,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.008,50,2.0,70,1197,33.8,-173.93,-85.18,0.776,22.5,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.01,20,2.0,70,1281,40.0,-149.68,-79.23,0.773,14.5,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,30,1.2,65,1051,27.2,-149.36,-81.98,0.773,31.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.008,10,2.0,65,740,29.3,-74.24,-56.57,0.771,12.9,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.005,10,2.0,65,729,24.4,-70.68,-56.89,0.771,15.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.005,30,2.0,65,707,20.8,-86.17,-65.4,0.771,22.0,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.01,10,2.0,65,745,33.0,-73.11,-55.92,0.77,11.5,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,20,1.2,65,1089,27.0,-143.18,-80.24,0.77,25.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.008,30,2.0,65,716,33.1,-93.07,-63.1,0.769,19.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,20,2.0,70,1178,26.9,-153.98,-84.49,0.769,25.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.005,50,2.0,65,713,23.1,-93.43,-65.57,0.769,19.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.01,50,1.2,70,1693,36.9,-272.55,-94.92,0.768,26.3,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,30,1.2,70,1610,26.8,-243.68,-93.75,0.767,31.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,30,1.5,70,1433,26.6,-216.5,-91.63,0.767,30.6,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.008,50,1.2,65,1137,41.0,-154.78,-81.82,0.767,18.5,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.005,20,2.0,65,715,22.2,-83.35,-64.51,0.766,19.3,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.008,50,2.0,70,1241,40.9,-173.36,-84.34,0.765,17.5,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.005,30,2.0,65,740,34.2,-82.12,-58.76,0.765,11.3,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.008,50,1.5,65,878,22.8,-146.17,-82.68,0.765,34.6,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.008,50,2.0,70,1106,23.3,-185.52,-89.39,0.763,34.3,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.008,10,2.0,65,750,36.7,-74.6,-55.98,0.762,9.3,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.008,50,1.5,70,1389,22.9,-234.74,-93.28,0.762,33.4,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.008,50,1.2,70,1858,41.0,-265.76,-94.24,0.76,17.4,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.008,30,1.2,65,1163,40.2,-149.82,-80.11,0.76,15.7,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.008,30,1.5,65,916,25.4,-135.21,-79.33,0.759,27.7,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.008,30,2.0,70,1213,28.7,-179.72,-86.46,0.757,22.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.01,50,1.5,65,896,31.1,-156.82,-82.34,0.757,31.6,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.01,30,1.2,70,1715,30.8,-265.02,-94.29,0.757,25.0,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.008,20,2.0,70,1243,29.1,-166.53,-84.06,0.757,18.5,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,20,1.5,70,1503,26.0,-213.81,-91.27,0.757,24.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.01,30,1.2,70,1786,34.9,-266.52,-94.41,0.757,21.4,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.008,50,1.2,70,1563,23.2,-270.65,-95.44,0.756,33.7,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.008,20,2.0,65,724,32.9,-91.9,-62.61,0.756,15.7,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.008,20,1.5,65,939,25.6,-128.14,-77.02,0.755,23.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.005,0.005,50,2.0,65,747,47.7,-73.53,-54.24,0.754,8.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.008,50,1.2,70,1678,28.1,-283.38,-95.55,0.754,26.6,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.01,30,1.5,70,1627,41.9,-229.53,-91.2,0.754,17.6,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.01,30,1.5,65,934,31.0,-141.85,-78.4,0.754,24.9,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.005,20,2.0,65,744,34.1,-83.39,-59.07,0.753,10.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.01,20,1.2,65,1175,39.0,-150.28,-79.93,0.753,14.9,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.005,10,2.0,65,755,33.9,-74.09,-55.83,0.753,7.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.008,10,2.0,65,745,32.2,-79.13,-58.49,0.753,10.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.008,50,1.5,70,1609,40.7,-237.07,-91.9,0.752,17.5,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.008,50,1.5,70,1542,33.1,-251.32,-93.34,0.751,22.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.008,50,1.5,70,1479,27.9,-252.0,-93.82,0.751,26.6,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.008,50,1.5,65,957,40.3,-140.2,-77.55,0.75,18.6,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.01,20,1.2,70,1936,38.9,-256.73,-93.26,0.748,14.6,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.008,30,1.5,70,1471,24.5,-234.22,-92.8,0.747,27.4,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.01,30,1.5,70,1576,34.6,-245.97,-92.99,0.746,21.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.01,30,1.2,65,1120,34.7,-170.07,-83.72,0.746,21.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,10,1.5,65,993,26.1,-115.39,-72.51,0.746,17.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.01,50,1.2,65,1053,30.6,-195.02,-88.06,0.746,31.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.01,30,1.5,70,1519,30.4,-245.79,-93.04,0.745,24.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.008,30,1.2,70,1657,24.9,-265.54,-94.91,0.745,27.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.008,50,1.2,70,1756,33.1,-294.31,-95.75,0.745,22.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.005,50,2.0,70,1236,22.7,-182.15,-86.26,0.744,19.5,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.008,50,1.2,65,1023,22.6,-187.19,-88.56,0.743,34.7,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.01,50,1.2,65,1085,35.6,-192.01,-87.26,0.743,27.4,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.01,30,1.2,65,1095,30.9,-174.44,-84.55,0.743,25.0,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.01,20,1.5,65,988,39.1,-130.53,-74.97,0.743,14.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.005,10,2.0,65,750,29.6,-79.55,-58.88,0.742,9.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.008,30,2.0,70,1244,32.4,-189.53,-86.83,0.742,18.7,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.005,10,2.0,65,745,26.6,-80.61,-59.38,0.742,11.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.008,20,2.0,70,1195,25.7,-174.03,-87.01,0.742,23.4,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.008,30,2.0,70,1275,39.7,-182.47,-85.47,0.742,15.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.005,50,1.5,65,932,17.9,-144.72,-81.62,0.741,25.7,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,20,1.2,70,1708,25.9,-257.83,-94.38,0.741,24.9,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.008,30,1.5,65,981,39.7,-137.15,-76.82,0.741,15.7,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.008,20,1.2,65,1099,25.7,-160.39,-83.12,0.739,23.3,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.008,30,1.2,70,1913,39.4,-278.67,-94.65,0.739,15.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.005,0.005,30,2.0,65,752,46.3,-77.8,-56.14,0.739,7.7,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.008,30,2.0,70,1163,24.2,-190.71,-89.22,0.739,27.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.01,30,1.5,65,952,34.5,-148.89,-79.32,0.738,21.7,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.008,30,1.2,65,1068,25.5,-171.0,-85.4,0.738,27.9,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.005,50,2.0,70,1176,18.5,-185.28,-88.26,0.737,26.0,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.008,20,1.5,70,1530,24.6,-230.19,-92.58,0.737,22.9,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.01,50,1.5,65,919,35.7,-165.56,-82.89,0.737,27.4,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.008,20,2.0,70,1270,32.1,-180.59,-85.16,0.736,15.6,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.008,20,1.2,65,1184,37.4,-158.64,-81.52,0.736,13.4,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.01,0.005,50,2.0,70,1303,33.5,-176.07,-83.98,0.735,12.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.005,50,2.0,65,724,26.9,-105.43,-67.95,0.733,16.5,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.008,50,1.5,65,913,27.5,-168.02,-84.11,0.731,27.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.005,50,2.0,70,1269,26.9,-188.64,-86.6,0.731,15.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.01,20,1.5,65,960,30.0,-145.15,-78.98,0.73,20.2,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.02,0.008,30,1.2,70,1762,28.3,-293.72,-95.7,0.73,22.1,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.015,0.008,30,1.2,70,1829,32.4,-294.44,-95.65,0.73,18.8,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.008,10,1.5,65,993,25.4,-122.16,-74.48,0.729,16.6,CRYPTO,5,2026-04-27 01:27:34
KRW-AAVE,0.03,0.01,10,2.0,70,1272,25.6,-159.93,-83.02,0.728,17.1,CRYPTO,5,2026-04-27 01:27:34
